,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
2066,44.0,32.0,,,<1,RG,1F,D,,,,,,99.0,DHCLPX_20240215,358.065,,
2067,32.0,0.0,,,2_4,DH,F,D,,,,,,99.0,DHCLPX_20240215,41.056666666666665,,
2068,73.0,72.5,,,>6,SH,F-,D,8-12mm,,,,,73.0,FSTA_20240104,,,
2069,72.5,63.0,,,1_2,FC,F,D,,,,,,73.0,FSTA_20240104,,,
2070,63.0,54.0,,,1_2,FC,4F,D,some <1mm,,,,,73.0,FSTA_20240104,,,
2071,54.0,47.0,,,<1,FC,4F,D,some rounding,,,,,73.0,FSTA_20240104,,,
2072,47.0,37.0,,,<1,FC,1F,D,"2nd size, 1-2mm",,,,,73.0,FSTA_20240104,,,
2073,37.0,22.0,,,2_4,FC,4F,D,chains,,,,,73.0,FSTA_20240104,34.335,,
2074,22.0,0.0,,,4_6,DH,4F+,D,"chains, cmall cups",,,,,73.0,FSTA_20240104,,,
2075,77.0,72.0,,,<1,MF,F,M,,,,,,77.0,JPLMet_20240220,,,
2076,72.0,58.0,,,1_2,MF,F,M-,rounded grains secondary,,,,,77.0,JPLMet_20240220,,,
2077,58.0,57.0,,,<1,MFcr,F,D,faceting,,,,,77.0,JPLMet_20240220,,,
2078,57.0,44.0,,,1_2,FC,F+,D,rounding,,,,,77.0,JPLMet_20240220,,,
2079,44.0,31.0,,,1_2,FC,4F+,D,less round that layer above,,,,,77.0,JPLMet_20240220,62.53875000000001,,
2080,31.0,27.0,,,<1,RG,1F,D,faceting,,,,,77.0,JPLMet_20240220,104.64,,
2081,27.0,0.0,,,2_4,FC,F,D,striated,,,,,77.0,JPLMet_20240220,14.954268292682928,,
2082,36.5,26.0,0.5,0.1,0.3,FCsf,F,D,,10.5,16.0,152.38095238095238,20241121.0,36.5,DHMet_20241121,0.981,,
2083,26.0,25.0,1.5,0.5,1.0,MFcr,1F,D,"MFcr, Faceting",1.0,4.0,400.0,,36.5,DHMet_20241121,,,
2084,25.0,10.0,1.5,0.5,1.0,FC,4F,D,FCso,15.0,35.0,233.33333333333331,,36.5,DHMet_20241121,12.706285714285714,,
2085,10.0,0.0,2.0,0.5,1.0,FC,1F,D,"FCso, Crust like @ ground",10.0,16.0,160.0,,36.5,DHMet_20241121,32.373000000000005,,
2094,40.0,39.0,0.5,0.3,0.5,DF,F,N/O,Fallen in last 12 hours,,,,20250210.0,40.0,CCO_20250210,,,
2095,39.0,36.0,1.0,0.3,0.5,RG,F,N/O,,,,,,40.0,CCO_20250210,0.981,,
2096,36.0,30.0,1.0,0.3,1.0,RG,F,N/O,,,,,,40.0,CCO_20250210,,,
2097,30.0,23.0,2.0,0.3,1.0,MFcr,1F,N/O,"This layer was the surface during rain event early February
smooth surface on top",,,,,40.0,CCO_20250210,57.02257142857143,,
2098,23.0,14.0,6.0,0.5,2.0,DHxr,1F,N/O,Loos like DH that got wet and stuck together.  Some poly crystals made up of striated facets,,,,,40.0,CCO_20250210,79.53107142857144,,
2099,14.0,10.0,3.0,2.0,2.0,MFcl,4F,N/O,,,,,,40.0,CCO_20250210,112.815,,
2100,10.0,0.0,3.0,1.0,2.0,DH,F,N/O,,,,,,40.0,CCO_20250210,161.865,,
2106,66.0,58.0,,,,,K,D,none,,,,20250408.0,66.0,JPLMet_20250408_TS_0725,486.82125,,
2107,58.0,37.0,,,,,P,D,,,,,,66.0,JPLMet_20250408_TS_0725,645.3578571428571,,
2108,37.0,21.0,,,,,4F,M,,,,,,66.0,JPLMet_20250408_TS_0725,61.04,,
