id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
BDG_20250115,213,174,172,S19M0555.PNT_samples.csv,,,1,350,362
BDG_20250115,213,174,172,S19M0556.PNT_samples.csv,,,1,355,430
BDG_20250115,213,174,172,S19M0557.PNT_samples.csv,,,1,429,435
BDG_20250115,213,174,172,S19M0558.PNT_samples.csv,,,1,355,372
BDG_20250115,213,174,172,S19M0559.PNT_samples.csv,,,1,346,373
BDG_20250115,213,174,172,S19M0560.PNT_samples.csv,,,1,353,357
BDG_20250115,213,174,172,S19M0561.PNT_samples.csv,,,1,346,367
BDG_20250115,213,60,56,S19M0552.PNT_samples.csv,,,1,1520,1541
BDG_20250115,213,60,56,S19M0553.PNT_samples.csv,,,1,1522,1538
BDG_20250115,213,60,56,S19M0554.PNT_samples.csv,,,1,1518,1536
BDG_20250115,213,60,56,S19M0555.PNT_samples.csv,,,1,1527,1552
BDG_20250115,213,60,56,S19M0556.PNT_samples.csv,,,1,1538,1555
BDG_20250115,213,60,56,S19M0557.PNT_samples.csv,,,1,1522,1552
BDG_20250115,213,60,56,S19M0558.PNT_samples.csv,,,1,1521,1544
BDG_20250115,213,60,56,S19M0559.PNT_samples.csv,,,1,1516,1546
BDG_20250115,213,60,56,S19M0560.PNT_samples.csv,,,1,1522,1548
BDG_20250115,213,60,56,S19M0561.PNT_samples.csv,,,1,1523,1546
JPLMet_20250408_TS_0930,68,68,62,S19M0821.PNT_samples.csv,,,1,0,10
JPLMet_20250408_TS_0930,68,68,62,S19M0824.PNT_samples.csv,,,1,0.433,57
JPLMet_20250408_TS_0930,68,68,62,S19M0825.PNT_samples.csv,,,1,0,43
BOG_20241217,125,50.5,50,S19M0472.PNT_samples.csv,,,1,735,751
BOG_20241217,125,50.5,50,S19M0473.PNT_samples.csv,,,1,726,742
BOG_20241217,125,50.5,50,S19M0474.PNT_samples.csv,,,1,715,724
BOG_20241217,125,50.5,50,S19M0475.PNT_samples.csv,,,1,733,744
BOG_20241217,125,50.5,50,S19M0476.PNT_samples.csv,,,1,714,726
BOG_20241217,125,50.5,50,S19M0477.PNT_samples.csv,,,1,713,730
BOG_20241217,125,50.5,50,S19M0478.PNT_samples.csv,,,1,716,721
BOG_20241217,125,50.5,50,S19M0479.PNT_samples.csv,,,1,706,712
BOG_20241217,125,50.5,50,S19M0480.PNT_samples.csv,,,1,701,713
BOG_20241217,125,50.5,50,S19M0481.PNT_samples.csv,,,1,712,724
BOG_20241217,125,35,26,S19M0472.PNT_samples.csv,,,1,846,939
BOG_20241217,125,35,26,S19M0473.PNT_samples.csv,,,1,869,967
BOG_20241217,125,35,26,S19M0474.PNT_samples.csv,,,1,893,846
